,id,coord,name,population_density60,population_density25,population_density15,born_immunity_integrity,attained_immunity_debuff,healthy_eater,smoker,drinker,infected,quarantined,dead
0,1,"(69, 80)",N. I,True,False,False,100,0,True,False,True,0,0,0
1,2,"(103, 19)",O. W,False,True,False,100,0,False,False,True,0,0,0
2,3,"(99, 35)",E. H,True,False,False,100,0,True,False,False,0,0,0
3,4,"(51, 125)",F. Y,True,False,False,100,0,False,False,True,0,0,0
4,5,"(30, 87)",L. H,True,False,False,100,0,True,False,False,0,0,0
5,6,"(99, 46)",T. K,True,False,False,53,0,True,False,False,0,0,0
6,7,"(67, 137)",V. Q,True,False,False,100,0,False,False,False,0,0,0
7,8,"(84, 71)",Z. V,True,False,False,100,0,False,False,True,0,0,0
8,9,"(97, 141)",R. Y,True,False,False,100,0,False,False,True,0,0,0
9,10,"(129, 143)",N. D,False,True,False,100,0,False,False,True,0,0,0
10,11,"(81, 136)",H. Q,True,False,False,100,0,False,False,False,0,0,0
11,12,"(71, 121)",F. Y,True,False,False,100,0,True,False,True,0,0,0
12,13,"(62, 136)",I. T,True,False,False,100,0,False,False,False,0,0,0
13,14,"(37, 59)",H. W,False,True,False,100,0,True,False,True,0,0,0
14,15,"(94, 107)",P. U,True,False,False,100,0,True,False,True,0,0,0
15,16,"(114, 145)",W. U,True,False,False,100,0,False,True,False,0,0,0
16,17,"(17, 55)",S. R,False,False,True,100,0,False,False,True,0,0,0
17,18,"(90, 140)",H. T,True,False,False,100,0,False,False,True,0,0,0
18,19,"(89, 105)",O. G,True,False,False,100,0,True,True,False,0,0,0
19,20,"(123, 56)",A. S,True,False,False,100,0,False,False,False,0,0,0
20,21,"(21, 80)",U. L,False,True,False,100,0,False,False,False,0,0,0
21,22,"(42, 28)",X. Y,False,False,True,100,0,False,False,False,0,0,0
22,23,"(35, 104)",D. U,True,False,False,100,0,False,False,False,0,0,0
23,24,"(63, 75)",V. L,True,False,False,100,0,False,False,False,0,0,0
24,25,"(41, 147)",W. U,False,True,False,100,0,True,True,False,0,0,0
25,26,"(25, 73)",A. P,False,True,False,100,0,False,False,True,0,0,0
26,27,"(71, 34)",L. F,True,False,False,100,0,True,False,True,0,0,0
27,28,"(132, 93)",J. X,True,False,False,100,0,False,False,False,0,0,0
28,29,"(137, 41)",P. W,False,True,False,100,0,False,False,True,0,0,0
29,30,"(103, 146)",O. Z,True,False,False,87,0,True,False,False,0,0,0
30,31,"(128, 42)",C. F,True,False,False,100,0,True,True,False,0,0,0
31,32,"(169, 65)",L. V,False,False,True,100,0,True,False,True,0,0,0
32,33,"(40, 125)",U. D,True,False,False,100,0,False,False,False,0,0,0
33,34,"(98, 116)",H. G,True,False,False,100,0,False,False,False,0,0,0
34,35,"(92, 20)",P. T,False,True,False,100,0,True,False,False,0,0,0
